frequencies,intensities
1.000000000000000000e+03,-2.026229057175661999e-02
1.001669449081803009e+03,-1.627803340665583479e-02
1.003338898163606018e+03,-2.485808822257634665e-02
1.005008347245409027e+03,-9.293856205875474299e-03
1.006677796327212036e+03,3.003402609603671863e-02
1.008347245409015045e+03,-6.105541742298114388e-03
1.010016694490818054e+03,-3.841478980451479980e-02
1.011686143572621063e+03,3.599420945907934322e-02
1.013355592654424072e+03,-8.060336115168032639e-03
1.015025041736227081e+03,1.039768456978645839e-02
1.016694490818030090e+03,8.905322611903757068e-03
1.018363939899833099e+03,1.748725279312749251e-02
1.020033388981636108e+03,2.958016530663078528e-02
1.021702838063439117e+03,2.485615231704443873e-02
1.023372287145242126e+03,4.178777995780118271e-02
1.025041736227045021e+03,-1.788778916414826906e-02
1.026711185308848144e+03,-2.290376071084992277e-02
1.028380634390651039e+03,3.927435241957970107e-03
1.030050083472454162e+03,8.287885078962954274e-03
1.031719532554257057e+03,7.797516711458493677e-04
1.033388981636060180e+03,2.650419063167627071e-02
1.035058430717863075e+03,1.079389398185659488e-02
1.036727879799666198e+03,-1.282518369355492224e-02
1.038397328881469093e+03,2.626374544102071107e-02
1.040066777963272216e+03,2.199403967534939441e-02
1.041736227045075111e+03,4.482529806152693065e-03
1.043405676126878234e+03,7.021672768522516095e-03
1.045075125208681129e+03,-4.898756739925756720e-03
1.046744574290484252e+03,1.955855784763833177e-02
1.048414023372287147e+03,5.419120140486820454e-03
1.050083472454090042e+03,1.346613705625679738e-02
1.051752921535893165e+03,8.125200459105908629e-03
1.053422370617696060e+03,9.624351855151964605e-03
1.055091819699499183e+03,1.504628015626899643e-02
1.056761268781302078e+03,3.379502092011101716e-02
1.058430717863105201e+03,-2.034368988681282617e-03
1.060100166944908096e+03,1.065887053588519991e-02
1.061769616026711219e+03,-2.945136767458848143e-02
1.063439065108514114e+03,-4.865980653005811535e-03
1.065108514190317237e+03,-1.715835899933657038e-02
1.066777963272120132e+03,1.406440340598828082e-02
1.068447412353923255e+03,4.379445302775079873e-02
1.070116861435726150e+03,3.124962574268976348e-02
1.071786310517529273e+03,-3.582263824730924640e-03
1.073455759599332168e+03,3.355465937133647603e-02
1.075125208681135291e+03,1.218443733091575075e-02
1.076794657762938186e+03,-9.371941732175287365e-03
1.078464106844741309e+03,2.735467689170549555e-02
1.080133555926544204e+03,8.844248386855692312e-03
1.081803005008347327e+03,-3.387121794229740884e-03
1.083472454090150222e+03,3.474773714829601512e-02
1.085141903171953345e+03,-2.086281939977214020e-02
1.086811352253756240e+03,8.706362817760715522e-03
1.088480801335559363e+03,2.797839379369031904e-02
1.090150250417362258e+03,1.122888086406755373e-02
1.091819699499165381e+03,5.226639099300848731e-03
1.093489148580968276e+03,3.215805265165912891e-02
1.095158597662771172e+03,6.344629168687683507e-02
1.096828046744574294e+03,1.527676607823692627e-02
1.098497495826377190e+03,2.565574936979387460e-02
1.100166944908180312e+03,5.137948982937915604e-02
1.101836393989983208e+03,-4.333306167464426317e-03
1.103505843071786330e+03,2.662420648088257777e-02
1.105175292153589226e+03,7.599055445719175850e-02
1.106844741235392348e+03,1.952543523092151179e-02
1.108514190317195244e+03,-5.112908059374393632e-04
1.110183639398998366e+03,4.198288276536622787e-02
1.111853088480801262e+03,3.002001426291320968e-02
1.113522537562604384e+03,3.453678643731111775e-02
1.115191986644407280e+03,1.344823137755163378e-02
