frequencies,intensities
1.000000000000000000e+03,-4.169135985430726110e-02
1.001669449081803009e+03,-1.146534537367159285e-03
1.003338898163606018e+03,-9.721901435659454499e-03
1.005008347245409027e+03,-1.170193974666686350e-02
1.006677796327212036e+03,6.782578490415412317e-03
1.008347245409015045e+03,2.061961180761605079e-03
1.010016694490818054e+03,2.612468160912467807e-02
1.011686143572621063e+03,1.139515437161553457e-02
1.013355592654424072e+03,1.553609414350710927e-02
1.015025041736227081e+03,-2.177259591679151993e-02
1.016694490818030090e+03,1.125742483762532525e-02
1.018363939899833099e+03,2.020537322116891868e-02
1.020033388981636108e+03,-3.827530099927798669e-03
1.021702838063439117e+03,-4.483698877629616920e-03
1.023372287145242126e+03,-5.529119409617281808e-03
1.025041736227045021e+03,1.892446327811236548e-02
1.026711185308848144e+03,3.337524032391718520e-02
1.028380634390651039e+03,-3.168836575849075243e-02
1.030050083472454162e+03,3.179003256656630534e-03
1.031719532554257057e+03,-9.730215727899957714e-03
1.033388981636060180e+03,5.121246124350987278e-02
1.035058430717863075e+03,-6.078433421101521114e-03
1.036727879799666198e+03,3.321557925943267875e-02
1.038397328881469093e+03,1.933101121810540390e-02
1.040066777963272216e+03,1.855699369084223838e-02
1.041736227045075111e+03,9.646007789162018564e-03
1.043405676126878234e+03,1.120317307423224912e-02
1.045075125208681129e+03,-3.393457370414399571e-03
1.046744574290484252e+03,-1.925569500997726183e-02
1.048414023372287147e+03,8.248756689165859246e-03
1.050083472454090042e+03,1.638971468516498692e-02
1.051752921535893165e+03,2.569804369167132813e-02
1.053422370617696060e+03,-1.143717983569706581e-02
1.055091819699499183e+03,2.368348042335393505e-02
1.056761268781302078e+03,1.533815796204334933e-02
1.058430717863105201e+03,3.460205189934891651e-02
1.060100166944908096e+03,9.819711907946298071e-03
1.061769616026711219e+03,-7.984016543547764119e-03
1.063439065108514114e+03,4.881384495173801685e-02
1.065108514190317237e+03,1.812094295429145241e-02
1.066777963272120132e+03,1.563211803299490235e-02
1.068447412353923255e+03,3.246414707141349193e-02
1.070116861435726150e+03,1.845707741736199795e-02
1.071786310517529273e+03,2.022201469686269251e-02
1.073455759599332168e+03,5.813578840985001578e-02
1.075125208681135291e+03,1.285497829763860081e-03
1.076794657762938186e+03,1.268750008745004980e-02
1.078464106844741309e+03,2.018894455370940505e-02
1.080133555926544204e+03,1.579812982391319565e-02
1.081803005008347327e+03,4.469084567096746896e-02
1.083472454090150222e+03,2.551775783105443562e-02
1.085141903171953345e+03,1.066255317897882304e-02
1.086811352253756240e+03,-1.214511749845077759e-02
1.088480801335559363e+03,-5.211950581050336234e-03
1.090150250417362258e+03,-2.502269817589265061e-03
1.091819699499165381e+03,-1.606297975065812053e-02
1.093489148580968276e+03,1.424968645638923295e-02
1.095158597662771172e+03,-1.991765821456864885e-02
1.096828046744574294e+03,3.690770182128542271e-02
1.098497495826377190e+03,1.374824327359365841e-02
1.100166944908180312e+03,-3.274665933669550916e-03
1.101836393989983208e+03,2.461526002606982330e-02
1.103505843071786330e+03,3.153710981811279346e-02
1.105175292153589226e+03,4.421320261539310459e-03
1.106844741235392348e+03,-8.632543770994080545e-04
1.108514190317195244e+03,2.188991421086345507e-02
1.110183639398998366e+03,2.145302136487493502e-02
1.111853088480801262e+03,3.747382296749988961e-02
1.113522537562604384e+03,2.312600110982577020e-02
1.115191986644407280e+03,6.975981092632924790e-03
1.116861435726210402e+03,1.181946524836111588e-02
1.118530884808013298e+03,1.924876884898858720e-02
1.120200333889816420e+03,4.156947664227063355e-02
1.121869782971619316e+03,6.272247878597358994e-02
1.123539232053422438e+03,-1.050607688126615688e-02
1.125208681135225333e+03,2.825656209002901098e-02
1.126878130217028456e+03,5.371933797510647368e-02
1.128547579298831351e+03,2.978308596032337024e-02
1.130217028380634474e+03,3.544061272602867102e-02
1.131886477462437369e+03,9.836982983062368679e-02
1.133555926544240492e+03,3.195489269032440738e-02
1.135225375626043387e+03,4.690569981357563256e-02
1.136894824707846510e+03,4.878266808843995106e-02
1.138564273789649405e+03,2.022032451486245608e-02
1.140233722871452301e+03,1.585903574467067284e-02
1.141903171953255423e+03,3.256335741365462555e-02
1.143572621035058546e+03,1.619322312443226969e-02
1.145242070116861441e+03,1.932496997393097493e-02
1.146911519198664337e+03,1.986624384351239753e-02
1.148580968280467459e+03,3.241808135797669133e-02
1.150250417362270355e+03,1.716314898170363118e-02
1.151919866444073477e+03,5.836736671033548179e-02
1.153589315525876373e+03,3.271983719591173984e-02
1.155258764607679495e+03,4.737574535428946271e-02
1.156928213689482391e+03,4.081639591496021013e-02
1.158597662771285513e+03,5.109913151062120407e-02
1.160267111853088409e+03,7.107936396380493127e-02
1.161936560934891531e+03,2.971759572863439530e-02
1.163606010016694427e+03,2.322713997404566785e-02
1.165275459098497549e+03,5.497930604340244692e-02
1.166944908180300445e+03,2.358086855180938773e-02
1.168614357262103567e+03,2.845325600191600871e-02
1.170283806343906463e+03,3.099358996066737745e-02
1.171953255425709585e+03,3.616079783791790320e-02
1.173622704507512481e+03,2.933337714461062631e-02
1.175292153589315603e+03,3.449787533132341738e-02
1.176961602671118499e+03,4.126703761192027781e-02
1.178631051752921621e+03,7.276856080275900807e-02
1.180300500834724517e+03,4.679617107638125995e-02
1.181969949916527639e+03,4.309783213751667424e-02
1.183639398998330535e+03,4.066397659118271835e-02
1.185308848080133430e+03,6.101751969137950843e-02
1.186978297161936553e+03,7.941258029600251067e-02
1.188647746243739675e+03,3.874748491414275325e-02
1.190317195325542571e+03,-1.974447676354323944e-04
1.191986644407345466e+03,4.570531708507489382e-02
1.193656093489148589e+03,2.136860181248002172e-02
1.195325542570951711e+03,3.124366504027266400e-02
1.196994991652754607e+03,2.482453277112547582e-02
1.198664440734557502e+03,3.217631809694904144e-02
