frequencies,intensities
1.000000000000000000e+03,-5.307749897252563541e-03
1.001669449081803009e+03,-5.599700599589588039e-03
1.003338898163606018e+03,-1.309821640218622116e-02
1.005008347245409027e+03,9.962831783694734225e-03
1.006677796327212036e+03,4.153889670783741245e-02
1.008347245409015045e+03,-2.319677408181405887e-02
1.010016694490818054e+03,2.725000780932599134e-02
1.011686143572621063e+03,2.348616529344722814e-02
1.013355592654424072e+03,1.931837454708505014e-02
1.015025041736227081e+03,-9.456220654550111585e-03
1.016694490818030090e+03,-5.181951634235686284e-03
1.018363939899833099e+03,2.601281594848639175e-02
1.020033388981636108e+03,4.164485931926249079e-02
1.021702838063439117e+03,-1.006607639731698506e-02
1.023372287145242126e+03,1.465783407489524258e-02
1.025041736227045021e+03,-3.325710591287085044e-02
1.026711185308848144e+03,1.004734200551003764e-02
1.028380634390651039e+03,3.477222605375240860e-02
1.030050083472454162e+03,5.046105730836619035e-03
1.031719532554257057e+03,3.299498142796512129e-02
1.033388981636060180e+03,1.665185871270407833e-02
1.035058430717863075e+03,-1.523104813891021370e-02
1.036727879799666198e+03,1.839863337913340974e-02
1.038397328881469093e+03,5.519218684273656181e-03
1.040066777963272216e+03,7.233210857251338999e-02
1.041736227045075111e+03,-7.850427275585859788e-03
1.043405676126878234e+03,-1.320894686386761031e-02
1.045075125208681129e+03,-2.181958821982563079e-03
1.046744574290484252e+03,-3.528011634546884823e-03
1.048414023372287147e+03,1.149756150697901248e-02
1.050083472454090042e+03,3.428893420110248891e-02
1.051752921535893165e+03,5.074239651037466825e-02
1.053422370617696060e+03,5.763407332075962813e-02
1.055091819699499183e+03,2.170626425020154640e-03
1.056761268781302078e+03,1.794314245907562694e-02
1.058430717863105201e+03,3.633974000278828581e-02
1.060100166944908096e+03,2.067504151295023601e-02
1.061769616026711219e+03,2.940193549361716507e-02
1.063439065108514114e+03,2.874651782399608238e-02
1.065108514190317237e+03,3.834084852722144388e-02
1.066777963272120132e+03,3.616279904363583347e-02
1.068447412353923255e+03,-1.371073971938132664e-02
1.070116861435726150e+03,-2.875176063465774423e-03
1.071786310517529273e+03,1.927643151818062700e-02
1.073455759599332168e+03,2.435005379697915973e-02
1.075125208681135291e+03,1.315477887551876404e-02
1.076794657762938186e+03,2.334388300393643728e-03
1.078464106844741309e+03,2.400174755880180033e-02
1.080133555926544204e+03,4.559651188007787792e-02
1.081803005008347327e+03,-5.700570052194695037e-04
1.083472454090150222e+03,1.154903045791669247e-02
1.085141903171953345e+03,2.967874990153277978e-02
1.086811352253756240e+03,9.939324766468330893e-03
1.088480801335559363e+03,2.136662421827495786e-02
1.090150250417362258e+03,2.551039225859297668e-02
1.091819699499165381e+03,3.825766443505199121e-02
1.093489148580968276e+03,4.408502878527649493e-02
1.095158597662771172e+03,1.313539252742600139e-02
1.096828046744574294e+03,3.244969727370114465e-02
1.098497495826377190e+03,2.152971465859762276e-02
1.100166944908180312e+03,2.547501692553574143e-02
1.101836393989983208e+03,-2.841473927143064321e-02
