frequencies,normalized_intensities
1.000000000000000000e+03,0.000000000000000000e+00
1.001669449081803009e+03,0.000000000000000000e+00
1.003338898163606018e+03,0.000000000000000000e+00
1.005008347245409027e+03,0.000000000000000000e+00
1.006677796327212036e+03,0.000000000000000000e+00
1.008347245409015045e+03,0.000000000000000000e+00
1.010016694490818054e+03,0.000000000000000000e+00
1.011686143572621063e+03,0.000000000000000000e+00
1.013355592654424072e+03,0.000000000000000000e+00
1.015025041736227081e+03,0.000000000000000000e+00
1.016694490818030090e+03,0.000000000000000000e+00
1.018363939899833099e+03,0.000000000000000000e+00
1.020033388981636108e+03,0.000000000000000000e+00
1.021702838063439117e+03,0.000000000000000000e+00
1.023372287145242126e+03,0.000000000000000000e+00
1.025041736227045021e+03,0.000000000000000000e+00
1.026711185308848144e+03,0.000000000000000000e+00
1.028380634390651039e+03,0.000000000000000000e+00
1.030050083472454162e+03,0.000000000000000000e+00
1.031719532554257057e+03,0.000000000000000000e+00
1.033388981636060180e+03,0.000000000000000000e+00
1.035058430717863075e+03,0.000000000000000000e+00
1.036727879799666198e+03,0.000000000000000000e+00
1.038397328881469093e+03,0.000000000000000000e+00
1.040066777963272216e+03,0.000000000000000000e+00
1.041736227045075111e+03,0.000000000000000000e+00
1.043405676126878234e+03,0.000000000000000000e+00
1.045075125208681129e+03,0.000000000000000000e+00
1.046744574290484252e+03,0.000000000000000000e+00
1.048414023372287147e+03,0.000000000000000000e+00
1.050083472454090042e+03,0.000000000000000000e+00
1.051752921535893165e+03,0.000000000000000000e+00
1.053422370617696060e+03,0.000000000000000000e+00
1.055091819699499183e+03,0.000000000000000000e+00
1.056761268781302078e+03,0.000000000000000000e+00
1.058430717863105201e+03,0.000000000000000000e+00
1.060100166944908096e+03,0.000000000000000000e+00
1.061769616026711219e+03,0.000000000000000000e+00
1.063439065108514114e+03,0.000000000000000000e+00
1.065108514190317237e+03,0.000000000000000000e+00
1.066777963272120132e+03,0.000000000000000000e+00
1.068447412353923255e+03,0.000000000000000000e+00
1.070116861435726150e+03,0.000000000000000000e+00
1.071786310517529273e+03,0.000000000000000000e+00
1.073455759599332168e+03,0.000000000000000000e+00
1.075125208681135291e+03,0.000000000000000000e+00
1.076794657762938186e+03,0.000000000000000000e+00
1.078464106844741309e+03,0.000000000000000000e+00
1.080133555926544204e+03,0.000000000000000000e+00
1.081803005008347327e+03,0.000000000000000000e+00
1.083472454090150222e+03,0.000000000000000000e+00
1.085141903171953345e+03,0.000000000000000000e+00
1.086811352253756240e+03,0.000000000000000000e+00
1.088480801335559363e+03,0.000000000000000000e+00
1.090150250417362258e+03,0.000000000000000000e+00
1.091819699499165381e+03,0.000000000000000000e+00
1.093489148580968276e+03,0.000000000000000000e+00
1.095158597662771172e+03,0.000000000000000000e+00
1.096828046744574294e+03,0.000000000000000000e+00
1.098497495826377190e+03,0.000000000000000000e+00
1.100166944908180312e+03,0.000000000000000000e+00
1.101836393989983208e+03,0.000000000000000000e+00
1.103505843071786330e+03,0.000000000000000000e+00
1.105175292153589226e+03,0.000000000000000000e+00
1.106844741235392348e+03,0.000000000000000000e+00
1.108514190317195244e+03,0.000000000000000000e+00
1.110183639398998366e+03,0.000000000000000000e+00
1.111853088480801262e+03,0.000000000000000000e+00
1.113522537562604384e+03,0.000000000000000000e+00
1.115191986644407280e+03,0.000000000000000000e+00
1.116861435726210402e+03,0.000000000000000000e+00
1.118530884808013298e+03,0.000000000000000000e+00
1.120200333889816420e+03,0.000000000000000000e+00
1.121869782971619316e+03,0.000000000000000000e+00
1.123539232053422438e+03,0.000000000000000000e+00
1.125208681135225333e+03,0.000000000000000000e+00
1.126878130217028456e+03,0.000000000000000000e+00
1.128547579298831351e+03,0.000000000000000000e+00
1.130217028380634474e+03,0.000000000000000000e+00
1.131886477462437369e+03,0.000000000000000000e+00
1.133555926544240492e+03,0.000000000000000000e+00
1.135225375626043387e+03,0.000000000000000000e+00
1.136894824707846510e+03,0.000000000000000000e+00
1.138564273789649405e+03,0.000000000000000000e+00
1.140233722871452301e+03,0.000000000000000000e+00
1.141903171953255423e+03,0.000000000000000000e+00
1.143572621035058546e+03,0.000000000000000000e+00
1.145242070116861441e+03,0.000000000000000000e+00
1.146911519198664337e+03,0.000000000000000000e+00
1.148580968280467459e+03,0.000000000000000000e+00
1.150250417362270355e+03,0.000000000000000000e+00
1.151919866444073477e+03,0.000000000000000000e+00
1.153589315525876373e+03,0.000000000000000000e+00
1.155258764607679495e+03,0.000000000000000000e+00
1.156928213689482391e+03,0.000000000000000000e+00
1.158597662771285513e+03,0.000000000000000000e+00
1.160267111853088409e+03,0.000000000000000000e+00
1.161936560934891531e+03,0.000000000000000000e+00
1.163606010016694427e+03,0.000000000000000000e+00
1.165275459098497549e+03,0.000000000000000000e+00
1.166944908180300445e+03,0.000000000000000000e+00
1.168614357262103567e+03,0.000000000000000000e+00
1.170283806343906463e+03,0.000000000000000000e+00
1.171953255425709585e+03,0.000000000000000000e+00
1.173622704507512481e+03,0.000000000000000000e+00
1.175292153589315603e+03,0.000000000000000000e+00
1.176961602671118499e+03,0.000000000000000000e+00
1.178631051752921621e+03,0.000000000000000000e+00
1.180300500834724517e+03,0.000000000000000000e+00
1.181969949916527639e+03,0.000000000000000000e+00
1.183639398998330535e+03,0.000000000000000000e+00
1.185308848080133430e+03,0.000000000000000000e+00
1.186978297161936553e+03,0.000000000000000000e+00
1.188647746243739675e+03,0.000000000000000000e+00
1.190317195325542571e+03,0.000000000000000000e+00
1.191986644407345466e+03,0.000000000000000000e+00
1.193656093489148589e+03,0.000000000000000000e+00
1.195325542570951711e+03,0.000000000000000000e+00
1.196994991652754607e+03,0.000000000000000000e+00
1.198664440734557502e+03,0.000000000000000000e+00
1.200333889816360625e+03,0.000000000000000000e+00
1.202003338898163520e+03,0.000000000000000000e+00
1.203672787979966643e+03,0.000000000000000000e+00
1.205342237061769538e+03,0.000000000000000000e+00
1.207011686143572661e+03,0.000000000000000000e+00
1.208681135225375556e+03,0.000000000000000000e+00
1.210350584307178679e+03,0.000000000000000000e+00
1.212020033388981574e+03,0.000000000000000000e+00
1.213689482470784696e+03,0.000000000000000000e+00
1.215358931552587592e+03,0.000000000000000000e+00
1.217028380634390714e+03,0.000000000000000000e+00
1.218697829716193610e+03,0.000000000000000000e+00
1.220367278797996732e+03,0.000000000000000000e+00
1.222036727879799628e+03,0.000000000000000000e+00
1.223706176961602750e+03,0.000000000000000000e+00
1.225375626043405646e+03,0.000000000000000000e+00
1.227045075125208768e+03,0.000000000000000000e+00
1.228714524207011664e+03,0.000000000000000000e+00
1.230383973288814786e+03,0.000000000000000000e+00
1.232053422370617682e+03,0.000000000000000000e+00
1.233722871452420804e+03,0.000000000000000000e+00
1.235392320534223700e+03,0.000000000000000000e+00
1.237061769616026595e+03,0.000000000000000000e+00
1.238731218697829718e+03,0.000000000000000000e+00
1.240400667779632840e+03,0.000000000000000000e+00
1.242070116861435736e+03,0.000000000000000000e+00
1.243739565943238631e+03,0.000000000000000000e+00
1.245409015025041754e+03,0.000000000000000000e+00
1.247078464106844649e+03,0.000000000000000000e+00
1.248747913188647772e+03,0.000000000000000000e+00
1.250417362270450667e+03,0.000000000000000000e+00
1.252086811352253790e+03,0.000000000000000000e+00
1.253756260434056685e+03,0.000000000000000000e+00
1.255425709515859808e+03,0.000000000000000000e+00
1.257095158597662703e+03,0.000000000000000000e+00
1.258764607679465826e+03,0.000000000000000000e+00
1.260434056761268721e+03,0.000000000000000000e+00
1.262103505843071844e+03,0.000000000000000000e+00
1.263772954924874739e+03,0.000000000000000000e+00
1.265442404006677862e+03,0.000000000000000000e+00
1.267111853088480757e+03,0.000000000000000000e+00
1.268781302170283880e+03,0.000000000000000000e+00
1.270450751252086775e+03,0.000000000000000000e+00
1.272120200333889898e+03,0.000000000000000000e+00
1.273789649415692793e+03,0.000000000000000000e+00
1.275459098497495688e+03,0.000000000000000000e+00
1.277128547579298811e+03,0.000000000000000000e+00
1.278797996661101934e+03,0.000000000000000000e+00
1.280467445742904829e+03,0.000000000000000000e+00
1.282136894824707724e+03,0.000000000000000000e+00
1.283806343906510847e+03,0.000000000000000000e+00
1.285475792988313970e+03,0.000000000000000000e+00
1.287145242070116865e+03,0.000000000000000000e+00
1.288814691151919760e+03,0.000000000000000000e+00
1.290484140233722883e+03,3.458459520888725809e-323
1.292153589315526006e+03,2.114600964200535209e-320
1.293823038397328901e+03,1.244296918066491803e-317
1.295492487479131796e+03,7.120802058521067531e-315
1.297161936560934919e+03,3.963052140823313839e-312
1.298831385642737814e+03,2.144996609332890013e-309
1.300500834724540937e+03,1.129066144101721087e-306
1.302170283806343832e+03,5.779737455796853163e-304
1.303839732888146955e+03,2.877350634821492543e-301
1.305509181969949850e+03,1.393071530507412576e-298
1.307178631051752973e+03,6.559186756507866062e-296
1.308848080133555868e+03,3.003464668036964110e-293
1.310517529215358991e+03,1.337491434547897172e-290
1.312186978297161886e+03,5.792358624419329940e-288
1.313856427378965009e+03,2.439584284733846073e-285
1.315525876460767904e+03,9.992454114717525824e-283
1.317195325542571027e+03,3.980379212182398115e-280
1.318864774624373922e+03,1.541958507297972023e-277
1.320534223706176817e+03,5.809207328303350903e-275
1.322203672787979940e+03,2.128418459667750666e-272
1.323873121869783063e+03,7.583908915795224280e-270
1.325542570951585958e+03,2.627998730551436606e-267
1.327212020033388853e+03,8.856316833828196679e-265
1.328881469115191976e+03,2.902532491818651444e-262
1.330550918196995099e+03,9.251176915949741500e-260
1.332220367278797994e+03,2.867562113127921022e-257
1.333889816360600889e+03,8.644196533214664204e-255
1.335559265442404012e+03,2.534150375569653696e-252
1.337228714524207135e+03,7.224970583229326106e-250
1.338898163606010030e+03,2.003252693556784213e-247
1.340567612687812925e+03,5.401710921479981099e-245
1.342237061769616048e+03,1.416520595323561515e-242
1.343906510851419171e+03,3.612521154958147953e-240
1.345575959933222066e+03,8.959707996628042983e-238
1.347245409015024961e+03,2.161092041620686411e-235
1.348914858096828084e+03,5.069307352240371104e-233
1.350584307178630979e+03,1.156431555611566528e-230
1.352253756260434102e+03,2.565589653085472126e-228
1.353923205342236997e+03,5.535417829553565214e-226
1.355592654424040120e+03,1.161474213641077655e-223
1.357262103505843015e+03,2.370089179280086847e-221
1.358931552587646138e+03,4.703441577191964435e-219
1.360601001669449033e+03,9.077427134599777696e-217
1.362270450751252156e+03,1.703749495474404986e-214
1.363939899833055051e+03,3.109887367165561692e-212
1.365609348914858174e+03,5.520514199925694840e-210
1.367278797996661069e+03,9.530382989786455121e-208
1.368948247078464192e+03,1.600063163824076351e-205
1.370617696160267087e+03,2.612521371341130267e-203
1.372287145242069982e+03,4.148379960757955769e-201
1.373956594323873105e+03,6.406091753948261580e-199
1.375626043405676228e+03,9.620634885638538364e-197
1.377295492487479123e+03,1.405109798713982962e-194
1.378964941569282018e+03,1.995780353036206417e-192
1.380634390651085141e+03,2.756837545359328799e-190
1.382303839732888264e+03,3.703442087552528191e-188
1.383973288814691159e+03,4.838334519689922028e-186
1.385642737896494054e+03,6.147268424423732059e-184
1.387312186978297177e+03,7.595640715542400005e-182
1.388981636060100300e+03,9.127305804438175038e-180
1.390651085141903195e+03,1.066637235311542776e-177
1.392320534223706090e+03,1.212235032322022141e-175
1.393989983305509213e+03,1.339839791966498593e-173
1.395659432387312108e+03,1.440173661945605501e-171
1.397328881469115231e+03,1.505472434384894846e-169
1.398998330550918126e+03,1.530476630977347677e-167
1.400667779632721249e+03,1.513131069009230473e-165
1.402337228714524144e+03,1.454863826853318318e-163
1.404006677796327267e+03,1.360392078106161601e-161
1.405676126878130162e+03,1.237091417206515148e-159
1.407345575959933285e+03,1.094045652224143693e-157
1.409015025041736180e+03,9.409467498782038393e-156
1.410684474123539303e+03,7.870287541252368423e-154
1.412353923205342198e+03,6.401947434816209990e-152
1.414023372287145321e+03,5.064418183125014312e-150
1.415692821368948216e+03,3.896215467064358019e-148
1.417362270450751112e+03,2.915092391427057506e-146
1.419031719532554234e+03,2.121082852239872642e-144
1.420701168614357357e+03,1.500924660376951978e-142
1.422370617696160252e+03,1.032894832248106363e-140
1.424040066777963148e+03,6.912724791789762046e-139
1.425709515859766270e+03,4.499231928374402374e-137
1.427378964941569393e+03,2.847891542834987779e-135
1.429048414023372288e+03,1.753091007565324509e-133
1.430717863105175184e+03,1.049497550714425075e-131
1.432387312186978306e+03,6.110184833656514891e-130
1.434056761268781429e+03,3.459578724023435391e-128
1.435726210350584324e+03,1.904969551691594309e-126
1.437395659432387220e+03,1.020114241211614861e-124
1.439065108514190342e+03,5.312580621595033303e-123
1.440734557595993238e+03,2.690656194538545151e-121
1.442404006677796360e+03,1.325277527708236732e-119
1.444073455759599256e+03,6.348211838616126839e-118
1.445742904841402378e+03,2.957276544026868897e-116
1.447412353923205274e+03,1.339764351274903630e-114
1.449081803005008396e+03,5.902837779115715715e-113
1.450751252086811292e+03,2.529235271896920151e-111
1.452420701168614414e+03,1.053934357529578849e-109
1.454090150250417310e+03,4.271042041295342350e-108
1.455759599332220432e+03,1.683255652168263216e-106
1.457429048414023327e+03,6.451523264984978813e-105
1.459098497495826450e+03,2.404752612375344638e-103
1.460767946577629345e+03,8.717149492053665118e-102
1.462437395659432468e+03,3.073084723268502781e-100
1.464106844741235363e+03,1.053587294486375988e-98
1.465776293823038486e+03,3.512873143723452860e-97
1.467445742904841381e+03,1.139069859466355002e-95
1.469115191986644277e+03,3.591982439904069572e-94
1.470784641068447399e+03,1.101574821134311628e-92
1.472454090150250522e+03,3.285411307775833499e-91
1.474123539232053417e+03,9.529309789179795015e-90
1.475792988313856313e+03,2.687998951678780174e-88
1.477462437395659435e+03,7.373822776538075365e-87
1.479131886477462558e+03,1.967216902229970736e-85
1.480801335559265453e+03,5.103965734071692079e-84
1.482470784641068349e+03,1.287831975906475680e-82
1.484140233722871471e+03,3.160142082859834069e-81
1.485809682804674594e+03,7.541365081958580737e-80
1.487479131886477489e+03,1.750206423196337280e-78
1.489148580968280385e+03,3.950249548779430492e-77
1.490818030050083507e+03,8.670731582892476577e-76
1.492487479131886403e+03,1.850899777729361309e-74
1.494156928213689525e+03,3.842430452888754281e-73
1.495826377295492421e+03,7.757558854405165991e-72
1.497495826377295543e+03,1.523140948102520401e-70
1.499165275459098439e+03,2.908379399070194315e-69
1.500834724540901561e+03,5.400798530619020776e-68
1.502504173622704457e+03,9.753508012689581204e-67
1.504173622704507579e+03,1.713009078174885164e-65
1.505843071786310475e+03,2.925866019671615423e-64
1.507512520868113597e+03,4.860099459670349322e-63
1.509181969949916493e+03,7.851123880053724145e-62
1.510851419031719615e+03,1.233429849095390281e-60
1.512520868113522511e+03,1.884486495359899589e-59
1.514190317195325406e+03,2.800061409081960136e-58
1.515859766277128529e+03,4.046113244534783829e-57
1.517529215358931651e+03,5.685968675175392025e-56
1.519198664440734547e+03,7.770819885791199896e-55
1.520868113522537442e+03,1.032821272210278257e-53
1.522537562604340565e+03,1.334994439085860589e-52
1.524207011686143687e+03,1.678145799931949860e-51
1.525876460767946583e+03,2.051520566666709221e-50
1.527545909849749478e+03,2.439034880595014137e-49
1.529215358931552601e+03,2.820045389069702456e-48
1.530884808013355723e+03,3.170955423119999757e-47
1.532554257095158619e+03,3.467529195639609882e-46
1.534223706176961514e+03,3.687619197100778509e-45
1.535893155258764637e+03,3.813888209676015139e-44
1.537562604340567759e+03,3.836063629362309194e-43
1.539232053422370655e+03,3.752317653552911062e-42
1.540901502504173550e+03,3.569516074943626766e-41
1.542570951585976673e+03,3.302288702671485837e-40
1.544240400667779795e+03,2.971096013798019317e-39
1.545909849749582690e+03,2.599646434886830350e-38
1.547579298831385586e+03,2.212115689329459002e-37
1.549248747913188708e+03,1.830616352117292338e-36
1.550918196994991604e+03,1.473271508116712365e-35
1.552587646076794499e+03,1.153092623300735250e-34
1.554257095158597622e+03,8.776908055167052140e-34
1.555926544240400744e+03,6.497029743595140358e-33
1.557595993322203640e+03,4.677180305879225634e-32
1.559265442404006535e+03,3.274532618239850142e-31
1.560934891485809658e+03,2.229515420985731787e-30
1.562604340567612780e+03,1.476276109030876116e-29
1.564273789649415676e+03,9.506500023308669799e-29
1.565943238731218571e+03,5.953463109522649536e-28
1.567612687813021694e+03,3.625890056234738871e-27
1.569282136894824816e+03,2.147610640219042930e-26
1.570951585976627712e+03,1.237064698457627778e-25
1.572621035058430607e+03,6.929872301478525046e-25
1.574290484140233730e+03,3.775322019024783937e-24
1.575959933222036852e+03,2.000224402963028392e-23
1.577629382303839748e+03,1.030621962422373993e-22
1.579298831385642643e+03,5.164354138181020039e-22
1.580968280467445766e+03,2.516683429833243716e-21
1.582637729549248888e+03,1.192716191001962556e-20
1.584307178631051784e+03,5.497200674417876321e-20
1.585976627712854679e+03,2.464007461344567779e-19
1.587646076794657802e+03,1.074084371151115336e-18
1.589315525876460924e+03,4.553346779721596638e-18
1.590984974958263820e+03,1.877236579370750071e-17
1.592654424040066715e+03,7.526676329264076131e-17
1.594323873121869838e+03,2.934833203245812884e-16
1.595993322203672733e+03,1.112908753717828676e-15
1.597662771285475628e+03,4.104229562142638629e-15
1.599332220367278751e+03,1.471972448364149403e-14
1.601001669449081874e+03,5.134092267302042057e-14
1.602671118530884769e+03,1.741500520766664362e-13
1.604340567612687664e+03,5.744860656354915819e-13
1.606010016694490787e+03,1.843025486230622580e-12
1.607679465776293910e+03,5.750149467986906080e-12
1.609348914858096805e+03,1.744708503836744396e-11
1.611018363939899700e+03,5.148284910385283885e-11
